Month,Temperature_C,Humidity_PRC,Leaf_Wetness_Hr,Rainfall_mm,Wind_Speed_ms,UV_Index,Light_Intensity_Lux,Disease_Type
4,9.45,42.3,0.09,0.0,5.37,3.8,21338.0,Healthy
7,28.35,32.85,2.27,0.23,5.74,5.4,22958.0,Healthy
5,21.13,62.31,1.23,0.41,4.23,3.6,18153.0,Powdery Mildew
8,-4.24,57.9,2.08,2.57,0.86,3.2,14159.0,Healthy
12,17.0,50.58,2.46,1.34,2.24,4.0,17303.0,Healthy
5,22.82,25.56,1.68,0.4,1.64,5.9,22272.0,Healthy
6,25.67,87.67,11.05,0.63,5.01,7.3,14425.0,Alternaria
3,27.67,37.17,0.73,0.52,3.06,2.9,21498.0,Healthy
6,24.61,80.36,0.06,0.82,3.82,2.3,15481.0,Powdery Mildew
5,26.76,79.13,5.72,3.75,4.56,5.4,9374.0,Fire Blight
6,17.16,94.45,5.32,6.21,1.76,1.8,3480.0,Cedar Apple Rust
6,15.6,81.31,11.99,0.53,2.82,1.7,16348.0,Apple Scab
6,29.53,92.14,13.08,1.89,1.88,5.6,12552.0,Alternaria
4,18.78,97.72,6.98,4.07,4.6,2.8,7674.0,Cedar Apple Rust
6,29.98,71.05,1.47,0.06,5.95,6.8,18342.0,Healthy
2,32.07,57.58,0.09,1.63,3.06,6.3,16010.0,Healthy
4,20.93,82.2,4.91,0.66,1.78,4.2,13933.0,Fire Blight
8,25.01,70.09,2.16,0.03,2.46,4.8,18534.0,Healthy
9,27.42,87.38,10.07,2.39,1.02,6.0,10683.0,Alternaria
6,17.78,96.66,6.29,3.03,3.87,2.4,9206.0,Cedar Apple Rust
4,18.21,82.11,13.58,0.97,3.51,1.5,15004.0,Apple Scab
9,24.51,98.53,18.77,1.09,2.62,8.3,14580.0,Alternaria
5,25.78,65.21,1.74,0.93,3.18,5.8,16160.0,Powdery Mildew
3,16.25,57.32,0.85,1.59,2.72,3.4,14365.0,Healthy
6,23.75,91.81,10.52,2.68,2.93,7.8,11093.0,Alternaria
6,23.16,72.63,0.49,0.06,2.92,5.5,17516.0,Powdery Mildew
9,31.33,61.72,0.81,0.31,1.44,9.9,17943.0,Healthy
9,34.43,33.59,2.16,1.04,5.8,7.1,20031.0,Healthy
5,26.53,83.08,5.94,3.82,5.68,3.7,9332.0,Fire Blight
5,18.17,86.67,5.59,1.41,1.83,3.9,13535.0,Fire Blight
4,15.31,88.29,8.5,2.23,1.62,3.2,11359.0,Apple Scab
1,14.97,41.98,1.14,0.28,5.56,3.3,20074.0,Healthy
6,19.11,92.79,9.68,6.62,5.51,3.9,2499.0,Cedar Apple Rust
12,14.37,38.23,1.26,0.04,4.12,8.2,22369.0,Healthy
5,28.59,77.71,5.39,2.93,5.94,3.9,12424.0,Fire Blight
4,14.79,86.81,6.2,1.6,2.18,2.3,12788.0,Apple Scab
7,24.18,92.19,9.18,1.06,3.85,7.8,13711.0,Alternaria
6,25.46,91.07,10.37,0.63,4.63,6.1,13772.0,Alternaria
4,23.05,98.16,9.52,4.3,3.71,3.2,7917.0,Cedar Apple Rust
5,20.93,91.46,4.96,0.93,3.68,4.6,14773.0,Fire Blight
4,16.18,87.11,9.33,1.77,0.94,1.5,13960.0,Apple Scab
5,25.22,82.24,1.17,0.95,4.92,6.0,15212.0,Fire Blight
5,25.76,78.46,2.51,2.55,2.88,6.2,12454.0,Fire Blight
4,25.09,77.96,10.47,2.28,0.8,6.8,13696.0,Fire Blight
5,15.25,91.0,9.26,2.64,0.65,2.7,11652.0,Apple Scab
4,20.01,98.81,8.78,3.81,2.24,3.8,7009.0,Cedar Apple Rust
5,28.6,85.91,5.86,1.4,5.84,4.7,15185.0,Fire Blight
4,27.26,74.49,1.56,2.95,4.08,5.5,13060.0,Fire Blight
5,15.87,67.55,1.61,0.28,1.77,4.8,17647.0,Powdery Mildew
6,22.99,95.69,8.02,7.81,5.15,3.2,500.0,Cedar Apple Rust
9,27.58,84.7,14.23,2.93,1.52,5.3,11703.0,Alternaria
