Actual_Disease,Predicted_Disease,Correct,Prob_Alternaria_%,Prob_Apple Scab_%,Prob_Cedar Apple Rust_%,Prob_Fire Blight_%,Prob_Healthy_%,Prob_Powdery Mildew_%
Healthy,Healthy,True,5.264501e-16,8.894358e-13,1.3291606e-17,3.4840276e-11,99.89743,0.102571316
Healthy,Healthy,True,1.4229313e-12,1.8107017e-12,1.1938846e-16,1.3208723e-12,99.88773,0.1122594
Powdery Mildew,Powdery Mildew,True,2.6648231e-06,1.0991206e-05,3.261031e-07,0.0011038099,3.1181502,96.88074
Healthy,Healthy,True,3.736184e-15,1.1476539e-10,3.8487065e-19,2.032836e-18,100.0,7.2489394e-07
Healthy,Healthy,True,6.5811945e-13,5.134324e-13,8.046336e-20,6.61036e-27,100.0,1.2625732e-10
Healthy,Healthy,True,1.6591263e-15,1.9282576e-15,4.407354e-20,5.7499166e-13,99.96928,0.030728573
Alternaria,Alternaria,True,100.0,7.344575e-12,3.585256e-11,3.6881058e-09,7.2185506e-09,7.681826e-19
Healthy,Healthy,True,1.1699222e-16,1.5686457e-13,3.2472834e-16,2.1696505e-07,99.999825,0.00017335442
Powdery Mildew,Powdery Mildew,True,0.00017585391,0.00011829986,0.00038770353,0.0049888566,1.3523097,98.64202
Fire Blight,Fire Blight,True,0.00053179986,0.00019811091,9.563048e-05,99.99212,0.0070546,5.512154e-07
Cedar Apple Rust,Cedar Apple Rust,True,9.4861505e-05,0.47519022,99.52377,0.00040322,0.00052824593,3.5327312e-07
Apple Scab,Apple Scab,True,8.0267205e-07,99.99979,0.00020270582,1.0647558e-06,1.6143345e-05,2.3747901e-11
Alternaria,Alternaria,True,100.0,1.3558656e-12,2.3344338e-08,4.5275675e-10,7.0790623e-10,9.977788e-21
Cedar Apple Rust,Cedar Apple Rust,True,6.538802e-06,0.008342422,99.98741,0.0042240536,2.0687374e-05,4.6451362e-08
Healthy,Powdery Mildew,False,0.0020512585,2.8994851e-05,6.192202e-05,0.018535208,26.855595,73.12373
Healthy,Healthy,True,1.6789358e-16,2.2210692e-13,1.9366219e-14,1.1000002e-05,99.999985,6.204581e-07
