Actual_Disease,Predicted_Disease,Correct,Prob_Alternaria_%,Prob_Apple Scab_%,Prob_Cedar Apple Rust_%,Prob_Fire Blight_%,Prob_Healthy_%,Prob_Powdery Mildew_%
Healthy,Healthy,True,1.2603911e-16,1.3533772e-11,1.1981196e-20,6.236873e-15,99.98982,0.010181656
Healthy,Healthy,True,1.2729555e-11,2.6678847e-11,8.972315e-19,8.062073e-14,99.92199,0.07801169
Powdery Mildew,Powdery Mildew,True,2.256049e-05,1.241783e-05,1.5462669e-07,0.0003379818,2.906818,97.092804
Healthy,Healthy,True,1.3204985e-17,7.1805506e-10,2.3876975e-23,1.5826806e-24,100.0,8.256197e-09
Healthy,Healthy,True,1.3983111e-15,9.271463e-11,9.569951e-22,6.0333164e-31,100.0,8.331249e-11
Healthy,Healthy,True,5.8472187e-17,5.755847e-15,3.9925998e-25,1.5870873e-17,99.99883,0.0011717505
Alternaria,Alternaria,True,100.0,1.5001604e-11,1.0514032e-12,5.2522957e-08,9.784534e-07,4.475203e-18
Healthy,Healthy,True,9.310418e-17,4.1003034e-11,8.853305e-18,1.6110754e-09,99.99996,4.1455325e-05
Powdery Mildew,Powdery Mildew,True,0.00072154956,2.6160908e-05,4.705951e-05,0.0018053857,0.9722841,99.025116
Fire Blight,Fire Blight,True,0.0005915633,0.00023132218,6.4916734e-05,99.9844,0.014716206,8.80676e-07
Cedar Apple Rust,Cedar Apple Rust,True,3.486783e-06,0.40825224,99.591545,8.546352e-05,0.00011260804,5.8407243e-09
Apple Scab,Apple Scab,True,5.2300075e-09,99.99994,4.1251307e-05,5.0579376e-07,1.5956542e-05,1.070068e-12
Alternaria,Alternaria,True,100.0,4.3535917e-12,2.2473315e-10,1.7289069e-09,2.381671e-08,4.526211e-18
Cedar Apple Rust,Cedar Apple Rust,True,1.2856127e-07,0.007834432,99.9901,0.002057717,1.0194086e-05,4.1530265e-10
Healthy,Healthy,True,0.026929032,6.5971185e-06,2.814172e-06,0.060311817,79.84689,20.065857
Healthy,Healthy,True,1.5968665e-15,1.1808951e-10,5.87681e-15,3.2252495e-07,100.0,5.65423e-07
Fire Blight,Fire Blight,True,0.0011576117,0.065305464,0.016677568,99.84269,0.07398047,0.0001868107
Healthy,Powdery Mildew,False,6.499147e-07,2.0580842e-08,4.8211635e-09,5.4942056e-08,0.41950485,99.58049
Alternaria,Alternaria,True,100.0,2.1099667e-12,1.1621114e-12,4.269452e-19,1.786663e-08,2.9552973e-20
Cedar Apple Rust,Cedar Apple Rust,True,8.766519e-05,0.11474383,99.88136,0.0035386183,0.00027295432,3.008033e-07
Apple Scab,Apple Scab,True,4.816852e-12,99.99994,1.9073583e-05,3.440433e-05,3.1020643e-06,5.6185013e-15
Alternaria,Alternaria,True,100.0,2.992785e-25,6.932379e-28,9.027369e-34,1.0285666e-16,1.541e-42
Powdery Mildew,Powdery Mildew,True,0.0028928886,0.00023454588,1.9950416e-05,0.31811717,14.051041,85.627686
Healthy,Healthy,True,2.5197759e-11,1.0032436e-05,1.2372386e-10,0.00014103258,99.99937,0.00048214628
Alternaria,Alternaria,True,100.0,8.7921104e-13,6.8060236e-14,4.44521e-09,1.1731479e-06,1.275454e-19
Powdery Mildew,Powdery Mildew,True,4.898607e-05,7.3789204e-07,7.608725e-07,0.00010080087,0.52759653,99.47225
Healthy,Healthy,True,4.4964765e-09,1.7178331e-16,1.7435615e-23,1.4150354e-17,100.0,8.076459e-12
Healthy,Healthy,True,5.820171e-13,3.9571123e-14,2.2011442e-23,6.2992585e-19,100.0,1.7534038e-07
Fire Blight,Fire Blight,True,0.0012818669,0.00082835957,0.0020567,99.982414,0.013419567,9.385568e-06
Fire Blight,Fire Blight,True,0.01133314,0.7141072,0.13789894,99.06213,0.07419159,0.0003362744
Apple Scab,Apple Scab,True,2.4840253e-07,99.77494,0.19477342,0.02938228,0.0009036071,3.1791563e-09
Healthy,Healthy,True,2.309305e-24,2.2290057e-13,3.8052388e-23,1.1726962e-13,100.0,3.989282e-10
Cedar Apple Rust,Cedar Apple Rust,True,1.8450106e-05,0.41178182,99.58818,7.877474e-06,1.23577665e-05,2.7223286e-11
Healthy,Healthy,True,3.9759987e-20,1.9057806e-17,4.882554e-32,3.769843e-37,100.0,1.3902484e-14
Fire Blight,Fire Blight,True,0.0007572523,0.001123907,0.00024341526,99.95995,0.037899088,2.9681632e-05
Apple Scab,Apple Scab,True,1.1729039e-06,99.72495,0.22724669,0.037613157,0.010182052,3.4393094e-07
Alternaria,Alternaria,True,100.0,7.039396e-14,2.8347926e-14,9.863563e-12,9.2183306e-08,2.1681311e-19
Alternaria,Alternaria,True,100.0,3.1485445e-09,1.9513484e-08,2.2578968e-06,2.0881455e-06,5.3525733e-14
Cedar Apple Rust,Cedar Apple Rust,True,2.336119e-08,0.00024260035,99.998535,0.0012198577,5.744732e-07,1.087732e-11
Fire Blight,Fire Blight,True,0.025765635,0.0022791512,0.1297851,99.82913,0.012726738,0.000316881
Apple Scab,Apple Scab,True,2.2988857e-09,99.91823,0.08063788,0.0008879892,0.00024210817,1.1294068e-10
Fire Blight,Powdery Mildew,False,0.22981958,0.00093421125,0.0039154557,42.19088,12.236944,45.337513
Fire Blight,Fire Blight,True,0.0033668645,0.00024684277,7.583454e-05,99.74341,0.25283545,7.337753e-05
Fire Blight,Fire Blight,True,5.8956346e-08,5.811318e-09,4.8630723e-13,99.99977,0.0002304804,1.1640219e-18
Apple Scab,Apple Scab,True,2.3393234e-07,98.36437,1.6312597,0.0040149307,0.00035645513,1.320556e-09
Cedar Apple Rust,Cedar Apple Rust,True,1.9996966e-07,0.0013640819,99.99268,0.005957582,3.0553228e-06,1.08066486e-10
Fire Blight,Fire Blight,True,0.0036338898,6.080665e-05,0.0026166812,99.98674,0.006912213,3.2968568e-05
Fire Blight,Fire Blight,True,0.0001317347,0.0009849537,0.0001195304,97.94971,2.048655,0.00040548912
Powdery Mildew,Powdery Mildew,True,3.906142e-05,3.6720714e-05,3.3571567e-07,0.00034100813,4.2922688,95.707306
Cedar Apple Rust,Cedar Apple Rust,True,2.8181233e-07,0.0001769967,99.999825,2.8280255e-07,1.7160333e-07,1.1391454e-12
Alternaria,Alternaria,True,100.0,4.4861193e-13,4.3399385e-15,1.6606047e-23,2.7163424e-10,1.4030272e-25
Alternaria,Alternaria,True,99.99996,4.2987463e-07,7.204435e-09,3.4844586e-11,3.580154e-05,1.651881e-13
Alternaria,Alternaria,True,99.999985,3.391376e-12,5.330052e-16,6.3085905e-11,1.0640744e-05,9.168715e-21
Healthy,Healthy,True,7.723383e-24,1.2052914e-14,9.107207e-25,1.06375505e-14,100.0,6.962692e-11
Apple Scab,Apple Scab,True,0.0002362224,99.8535,0.0955998,0.044628445,0.0060344487,1.3318719e-06
Alternaria,Alternaria,True,100.0,5.567632e-18,1.9704237e-22,1.1258489e-14,1.1303731e-08,1.0029253e-30
Cedar Apple Rust,Cedar Apple Rust,True,9.3638715e-07,0.0068360846,99.98448,0.008650914,3.9384457e-05,6.39174e-09
Fire Blight,Fire Blight,True,0.0016892323,0.007135786,0.00018852485,99.97301,0.017981295,6.493474e-08
Apple Scab,Apple Scab,True,8.468838e-10,99.96902,0.03095382,8.820802e-07,3.0543997e-05,4.3070197e-13
Healthy,Healthy,True,6.6103123e-26,7.5952735e-22,1.1567821e-34,2.1932626e-18,100.0,4.5877975e-19
Apple Scab,Apple Scab,True,1.5815413e-08,99.98288,0.012630897,0.0029929825,0.001498417,4.0923966e-09
Alternaria,Alternaria,True,100.0,1.1877022e-12,6.8512185e-14,1.758689e-11,2.2682175e-06,9.285795e-19
Cedar Apple Rust,Cedar Apple Rust,True,7.705882e-06,0.58384997,99.41593,0.00013339831,7.1143935e-05,3.946636e-09
Apple Scab,Apple Scab,True,5.2410016e-12,99.99837,0.0015988218,7.685518e-06,2.667982e-05,2.0439665e-13
Healthy,Healthy,True,4.608123e-13,3.21614e-14,4.006107e-23,1.6071348e-13,100.0,1.7653501e-07
Powdery Mildew,Powdery Mildew,True,1.0316754e-06,7.538788e-08,1.6710983e-08,1.8499675e-07,0.4727344,99.52727
Healthy,Healthy,True,1.2305593e-06,7.1979423e-07,9.9490395e-11,1.1793164e-06,65.250275,34.749718
Fire Blight,Fire Blight,True,0.0025316246,0.0048242384,0.027562978,99.95568,0.009378726,8.38398e-06
Fire Blight,Fire Blight,True,4.7152404e-05,0.00029903554,0.001162597,99.9965,0.0019936834,6.9403825e-08
Alternaria,Alternaria,True,100.0,4.3732883e-17,2.7930836e-19,1.1063255e-12,5.0280597e-09,1.785839e-26
Fire Blight,Fire Blight,True,1.2275702e-05,1.6839138e-05,5.2445927e-07,99.99489,0.0050878273,1.0856098e-10
Cedar Apple Rust,Cedar Apple Rust,True,2.765479e-06,0.013414549,99.939964,0.046547238,6.8300884e-05,8.098161e-09
Alternaria,Alternaria,True,99.999985,9.621223e-09,3.2338896e-08,2.7473232e-07,1.4591243e-05,1.1893644e-11
Fire Blight,Fire Blight,True,0.00027699413,0.00029036793,9.785079e-06,99.997505,0.0019207852,3.1396014e-10
Apple Scab,Apple Scab,True,3.1570872e-12,99.98499,0.015003985,8.655693e-09,5.4313346e-06,3.9483293e-15
Apple Scab,Apple Scab,True,4.4836956e-09,99.9862,0.013747891,2.2370095e-07,5.7542762e-05,4.2167944e-12
Alternaria,Alternaria,True,99.999825,5.981922e-06,4.910513e-07,2.668456e-07,0.00016149104,9.77729e-12
Alternaria,Alternaria,True,100.0,1.7247188e-11,8.514873e-07,4.5568493e-07,2.7353974e-06,1.3108648e-13
Healthy,Healthy,True,5.947802e-17,6.483311e-11,1.1768757e-16,1.3144133e-08,100.0,8.691596e-07
Apple Scab,Apple Scab,True,1.4695438e-06,99.44344,0.556322,6.225292e-06,0.00022761067,2.1260343e-10
Powdery Mildew,Powdery Mildew,True,2.2828743e-05,1.4197883e-06,5.401071e-07,1.6266245e-05,0.46747267,99.532486
Powdery Mildew,Powdery Mildew,True,2.5026213e-05,4.7865415e-06,1.0176717e-07,0.0006948455,3.4574125,96.54187
Powdery Mildew,Powdery Mildew,True,4.286066e-06,1.2909021e-07,6.575098e-08,2.43891e-06,0.33517134,99.664825
Apple Scab,Apple Scab,True,1.4162554e-06,99.71696,0.102729365,0.17673,0.0035838378,2.029774e-08
Apple Scab,Apple Scab,True,0.015577747,98.20464,0.24967861,1.4923638,0.037666205,6.7201145e-05
Powdery Mildew,Powdery Mildew,True,1.0271166e-05,6.803733e-06,6.950938e-08,9.830233e-05,2.8969977,97.10289
Cedar Apple Rust,Cedar Apple Rust,True,0.0012299314,2.045201,94.93616,3.0130475,0.0043644207,3.8018263e-06
Cedar Apple Rust,Cedar Apple Rust,True,1.1267991e-06,0.024094315,99.97562,0.00028263556,1.1990993e-05,1.8937071e-10
Alternaria,Alternaria,True,100.0,2.9516083e-16,2.8897943e-18,8.539235e-11,1.5952291e-07,9.6048675e-24
Alternaria,Alternaria,True,100.0,1.2654016e-21,2.658156e-24,5.567548e-25,2.210248e-12,1.1033966e-34
Apple Scab,Apple Scab,True,1.3214265e-06,95.326866,4.6711392,0.0013822273,0.0005997457,3.1924902e-10
Fire Blight,Fire Blight,True,1.2455496e-06,1.2959352e-06,2.2033133e-09,99.99708,0.0029225263,2.3846818e-13
Fire Blight,Fire Blight,True,0.0013759171,1.2291146e-05,5.9560025e-06,99.9974,0.0012037298,4.3126537e-11
Powdery Mildew,Powdery Mildew,True,6.6451946e-08,4.097116e-09,1.5454084e-10,4.4430704e-09,0.66012186,99.33988
Alternaria,Alternaria,True,99.999916,1.1156841e-09,4.819461e-12,5.2340565e-06,7.943899e-05,4.2017083e-16
Alternaria,Alternaria,True,100.0,7.2959407e-09,2.2902088e-07,4.9527756e-07,1.2652737e-06,2.5637488e-14
Healthy,Fire Blight,False,8.108322e-07,7.3314823e-06,1.2855812e-06,87.18912,12.810868,5.2451856e-09
Fire Blight,Fire Blight,True,0.0009731034,0.00054041704,0.00021664366,99.98849,0.009791696,1.2662866e-06
Apple Scab,Apple Scab,True,5.9007675e-07,99.95096,0.048504226,0.00014017231,0.00039022806,3.3817942e-09
Alternaria,Alternaria,True,100.0,6.8327554e-17,2.5598697e-21,1.574532e-25,1.6807016e-12,3.5306668e-34
Apple Scab,Apple Scab,True,2.2844555e-09,99.98412,0.014282779,0.0015696675,2.1954023e-05,1.0437401e-12
Alternaria,Alternaria,True,100.0,1.8557918e-12,1.358618e-15,8.792283e-12,7.832304e-08,4.0733543e-24
Alternaria,Alternaria,True,99.99953,4.655041e-07,4.5038306e-08,1.3938907e-13,0.00048041574,1.3930795e-10
Healthy,Healthy,True,8.057613e-12,3.0119672e-08,3.1529006e-14,2.1717735e-08,99.947014,0.052985635
Alternaria,Alternaria,True,100.0,2.2745413e-11,1.15704495e-11,3.3107932e-16,8.779879e-09,1.58994e-19
Apple Scab,Apple Scab,True,8.8090014e-11,99.14493,0.85506666,1.4931297e-06,6.6166835e-06,1.0612907e-13
Healthy,Healthy,True,0.00019183385,5.8245256e-05,3.907598e-09,0.002974687,99.93803,0.058753893
Alternaria,Alternaria,True,100.0,3.7392108e-20,9.9366037e-23,2.1931891e-24,1.4919586e-12,1.490009e-33
Apple Scab,Apple Scab,True,0.024669198,99.65586,0.11163922,0.19694504,0.010888221,7.901354e-07
Apple Scab,Apple Scab,True,4.613246e-12,94.25941,5.740595,3.5683847e-08,1.3013191e-06,1.752465e-15
Powdery Mildew,Powdery Mildew,True,1.1514151e-06,2.31168e-07,1.9077646e-09,3.1008838e-07,2.69373,97.30627
Cedar Apple Rust,Cedar Apple Rust,True,1.4274555e-07,0.0014636556,99.99106,0.0074819806,9.764233e-07,7.2313154e-12
Cedar Apple Rust,Cedar Apple Rust,True,0.0001568995,0.031997673,99.965576,0.0021267359,0.00013512769,1.2998007e-07
Apple Scab,Apple Scab,True,3.053053e-07,99.70675,0.2675511,0.022572158,0.0031250638,4.289926e-08
