Actual_Disease,Predicted_Disease,Correct,Prob_Alternaria_%,Prob_Apple Scab_%,Prob_Cedar Apple Rust_%,Prob_Fire Blight_%,Prob_Healthy_%,Prob_Powdery Mildew_%
Healthy,Healthy,True,2.5301535e-15,7.250516e-13,6.9655724e-21,5.8275464e-15,99.9982,0.0017970558
Healthy,Healthy,True,8.766872e-12,1.8139215e-12,7.859564e-19,1.2164059e-14,99.840775,0.15922664
Powdery Mildew,Powdery Mildew,True,9.880437e-06,2.288326e-06,2.2179702e-08,0.00033863322,3.5290155,96.470634
Healthy,Healthy,True,4.145746e-17,1.4442126e-11,3.5101648e-24,1.6620454e-28,100.0,1.4246747e-08
Healthy,Healthy,True,1.3073257e-11,1.6575944e-09,4.342312e-20,2.8056366e-30,100.0,1.6746766e-08
Healthy,Healthy,True,1.7474752e-14,5.148507e-16,1.7486008e-23,4.2060665e-16,99.99449,0.005509316
Alternaria,Alternaria,True,99.999985,3.3798267e-10,2.5694719e-10,1.1503615e-08,6.073121e-06,6.960868e-12
Healthy,Healthy,True,3.1933996e-14,5.974135e-12,7.122495e-17,1.2632985e-09,99.999954,4.8644557e-05
Powdery Mildew,Powdery Mildew,True,2.6883674e-05,4.232434e-05,2.1173422e-05,0.0030668292,1.3110307,98.6858
Fire Blight,Fire Blight,True,0.0030180307,2.1096852e-05,3.041228e-05,99.97324,0.023639742,4.7298552e-05
Cedar Apple Rust,Cedar Apple Rust,True,5.249951e-07,0.18783344,99.811844,0.00024955202,7.7929995e-05,1.2447751e-06
Apple Scab,Apple Scab,True,2.0221729e-09,99.99966,0.0003415579,3.8760993e-07,3.4630623e-06,8.3659374e-10
Alternaria,Alternaria,True,100.0,1.412635e-10,7.4367655e-08,1.6239439e-09,1.991508e-06,2.3831247e-12
Cedar Apple Rust,Cedar Apple Rust,True,6.8245685e-09,0.010447573,99.98747,0.002068372,1.10418e-05,7.046971e-08
Healthy,Powdery Mildew,False,0.0005896801,3.7435348e-07,5.1097125e-08,0.003442568,31.982904,68.013054
Healthy,Healthy,True,2.875743e-16,1.6788873e-13,7.848906e-15,1.2303257e-06,100.0,6.4760165e-08
Fire Blight,Fire Blight,True,1.3436613e-05,0.009515722,0.0018583863,99.9757,0.012822119,9.2974275e-05
Healthy,Powdery Mildew,False,1.8751834e-07,9.19753e-08,3.0562917e-09,1.4091216e-07,0.4636205,99.536385
Alternaria,Alternaria,True,99.999985,1.736613e-10,1.2138152e-11,1.586361e-17,1.4577334e-05,3.272212e-14
Cedar Apple Rust,Cedar Apple Rust,True,1.7958977e-05,0.09672872,99.89993,0.0031546534,0.00014626698,1.641331e-05
Apple Scab,Apple Scab,True,2.201951e-12,99.99985,0.00012769221,2.2383267e-05,4.9676686e-07,7.339983e-12
Alternaria,Alternaria,True,100.0,7.893686e-20,2.8024282e-22,2.3866784e-30,9.723691e-12,3.9756055e-27
Powdery Mildew,Powdery Mildew,True,0.00053508644,7.3519404e-06,5.6565375e-07,0.099781446,13.182084,86.71759
Healthy,Healthy,True,3.6236934e-11,3.5250162e-07,4.21367e-12,5.7926518e-05,99.99981,0.00013313808
Alternaria,Alternaria,True,100.0,1.9070953e-11,1.4968113e-10,3.384241e-09,3.7905952e-06,3.0635184e-13
Powdery Mildew,Powdery Mildew,True,6.48835e-06,1.3361713e-06,1.8108098e-07,0.00022756346,0.57012564,99.429634
Healthy,Healthy,True,5.934681e-09,1.7138608e-15,2.4718837e-19,2.622618e-19,100.0,2.9401284e-09
Healthy,Healthy,True,8.2804976e-13,3.3954048e-14,6.881863e-22,2.0033018e-22,100.0,5.0382414e-07
Fire Blight,Fire Blight,True,0.0045187343,0.00035198667,0.0013995195,99.966385,0.026986519,0.00036740393
Fire Blight,Fire Blight,True,0.010315794,1.0220504,0.07191917,98.84603,0.045162912,0.0045115473
